symbol,primary_ticker,exchange,asset_type,market_cap,sector,industry,name
AACBR,AACBR.US,NASDAQ,Common Stock,,,,Artius II Acquisition Inc. Rights
AAUGD,AAUGD.US,NASDAQ,Common Stock,,,,Aero Energy Limited
ABLVW,ABLVW.US,NASDAQ,Common Stock,,,,Able View Global Inc. Warrant
ABPWW,ABPWW.US,NASDAQ,Common Stock,,,,Abpro Holdings Inc
ABVEW,ABVEW.US,NASDAQ,Common Stock,,,,Above Food Ingredients Inc. Warrants
ABXL,ABXL.US,NYSE,Common Stock,,,,ABXL
ACONW,ACONW.US,NASDAQ,Common Stock,,,,Aclarion Inc
ADAMG,ADAMG.US,NASDAQ,Common Stock,,,,"Adamas Trust, Inc."
ADAMH,ADAMH.US,NASDAQ,Common Stock,,,,"Adamas Trust, Inc."
ADAMI,ADAMI.US,NASDAQ,Common Stock,,,,"New York Mortgage Trust, Inc. 9.125% Senior Notes Due 2029"
ADAMO,ADAMO.US,NASDAQ,Common Stock,,,,"Adamas Trust, Inc. 9.250% Senior Notes Due 2031"
ADNWW,ADNWW.US,NASDAQ,Common Stock,,,,Advent Technologies Holdings Inc
AEAQ,AEAQ.US,NASDAQ,Common Stock,,,,Activate Energy Acquisition Corp. Class A Ordinary Share
AEAQW,AEAQW.US,NASDAQ,Common Stock,,,,Activate Energy Acquisition Corp. Warrant
AENTW,AENTW.US,NASDAQ,Common Stock,,,,Alliance Entertainment Holding Corporation Warrants
AERTW,AERTW.US,NASDAQ,Common Stock,,,,Aeries Technology Inc.
AEXA,AEXA.US,NYSE,Common Stock,,,,American Exceptionalism Acquisition Corp. A
AFJKR,AFJKR.US,NASDAQ,Common Stock,,,,"Aimei Health Technology Co., Ltd Right"
AFRIW,AFRIW.US,NASDAQ,Common Stock,,,,Forafric Global PLC Warrants
AILEQ,AILEQ.US,NASDAQ,Common Stock,,,,"iLearningEngines, Inc."
AIMDW,AIMDW.US,NASDAQ,Common Stock,,,,Ainos Inc.
AIRJW,AIRJW.US,NASDAQ,Common Stock,,,,Montana Technologies Corporation
AISPW,AISPW.US,NASDAQ,Common Stock,,,,Airship AI Holdings Inc
AIZN,AIZN.US,NYSE,Common Stock,,,,Assurant Inc
ALFUW,ALFUW.US,NASDAQ,Common Stock,,,,Centurion Acquisition Corp. Warrant
ALOVU,ALOVU.US,NASDAQ,Common Stock,,,,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. Units"
ALVOW,ALVOW.US,NASDAQ,Common Stock,,,,Alvotech Warrant
AMODW,AMODW.US,NASDAQ,Common Stock,,,,"Alpha Modus Holdings, Inc."
AMPGW,AMPGW.US,NASDAQ,Common Stock,,,,AmpliTech Group Inc
ANGHW,ANGHW.US,NASDAQ,Common Stock,,,,Anghami Inc. Warrants
ANSCW,ANSCW.US,NASDAQ,Common Stock,,,,Agriculture & Natural Solutions Acquisition Corporation Warrant
AOMD,AOMD.US,NYSE,Common Stock,,,,"Angel Oak Mortgage REIT, Inc"
AOMN,AOMN.US,NYSE,Common Stock,,,,"Angel Oak Mortgage REIT, Inc. 9"
APOS,APOS.US,NYSE,Common Stock,,,,Apollo Global Management Inc.
AQNB,AQNB.US,NYSE,Common Stock,,,,Algonquin Power Utilities Corp
ARBEW,ARBEW.US,NASDAQ,Common Stock,,,,Arbe Robotics Ltd. Warrant
ARQQW,ARQQW.US,NASDAQ,Common Stock,,,,Arqit Quantum Inc. Warrants
ASBPW,ASBPW.US,NASDAQ,Common Stock,,,,"Aspire Biopharma Holdings, Inc."
ASPCR,ASPCR.US,NASDAQ,Common Stock,,,,A SPAC III Acquisition Corp. Right
ASPSW,ASPSW.US,NASDAQ,Common Stock,,,,Altisource Portfolio Solutions S.A.
ASPSZ,ASPSZ.US,NASDAQ,Common Stock,,,,Altisource Portfolio Solutions S.A.
ATHS,ATHS.US,NYSE,Common Stock,,,,Athene Holding Ltd. 7.250% Fixed
AUROW,AUROW.US,NASDAQ,Common Stock,,,,Aurora Innovation Inc
AUUDW,AUUDW.US,NASDAQ,Common Stock,,,,Auddia Inc
BAERW,BAERW.US,NASDAQ,Common Stock,,,,"Bridger Aerospace Group Holdings, Inc. Warrant"
BANXR,BANXR.US,NASDAQ,Common Stock,,,,ArrowMark Financial Corp. Right
BAYAR,BAYAR.US,NASDAQ,Common Stock,,,,Bayview Acquisition Corp Right
BBBY,BBBY.US,NYSE,Common Stock,,,,"Bed Bath & Beyond, Inc."
BBCQ,BBCQ.US,NASDAQ,Common Stock,,,,Bleichroeder Acquisition Corp. II Class A Ordinary Shares
BBCQW,BBCQW.US,NASDAQ,Common Stock,,,,Bleichroeder Acquisition Corp. II Warrants
