ticker,exchange,name,asset_type,type,sector,industry,status
AACB.US,NASDAQ,Artius II Acquisition Inc. Class A Ordinary Shares,Common Stock,Common Stock,,,active
AACBR.US,NASDAQ,Artius II Acquisition Inc. Rights,Common Stock,Common Stock,,,active
AACBU.US,NASDAQ,Artius II Acquisition Inc. Units,Common Stock,Common Stock,,,active
AACG.US,NASDAQ,ATA Creativity Global,Common Stock,Common Stock,,,active
AAL.US,NASDAQ,American Airlines Group,Common Stock,Common Stock,,,active
AAME.US,NASDAQ,Atlantic American Corporation,Common Stock,Common Stock,,,active
AAOI.US,NASDAQ,Applied Opt,Common Stock,Common Stock,,,active
AAON.US,NASDAQ,AAON Inc,Common Stock,Common Stock,,,active
AAPG.US,NASDAQ,Ascentage Pharma Group International,Common Stock,Common Stock,,,active
AARD.US,NASDAQ,"Aardvark Therapeutics, Inc. Common Stock",Common Stock,Common Stock,,,active
AAUGD.US,NASDAQ,Aero Energy Limited,Common Stock,Common Stock,,,active
ABAT.US,NASDAQ,American Battery Technology Company Common Stock,Common Stock,Common Stock,,,active
ABCL.US,NASDAQ,Abcellera Biologics Inc,Common Stock,Common Stock,,,active
ABEO.US,NASDAQ,Abeona Therapeutics Inc,Common Stock,Common Stock,,,active
ABLV.US,NASDAQ,Able View Global Inc. Class B Ordinary Shares,Common Stock,Common Stock,,,active
ABLVW.US,NASDAQ,Able View Global Inc. Warrant,Common Stock,Common Stock,,,active
ABNB.US,NASDAQ,Airbnb Inc,Common Stock,Common Stock,,,active
ABOS.US,NASDAQ,Acumen Pharmaceuticals Inc,Common Stock,Common Stock,,,active
ABPWW.US,NASDAQ,Abpro Holdings Inc,Common Stock,Common Stock,,,active
ABQQD.US,NASDAQ,AI Era Corp.,Common Stock,Common Stock,,,active
ABSI.US,NASDAQ,Absci Corp,Common Stock,Common Stock,,,active
ABTC.US,NASDAQ,American Bitcoin Corp,Common Stock,Common Stock,,,active
ABTS.US,NASDAQ,Abits Group Inc.,Common Stock,Common Stock,,,active
ABUS.US,NASDAQ,Arbutus Biopharma Corp,Common Stock,Common Stock,,,active
ABVC.US,NASDAQ,ABVC Biopharma Inc,Common Stock,Common Stock,,,active
ABVE.US,NASDAQ,Above Food Ingredients Inc. Common Stock,Common Stock,Common Stock,,,active
ABVEW.US,NASDAQ,Above Food Ingredients Inc. Warrants,Common Stock,Common Stock,,,active
ABVX.US,NASDAQ,Abivax SA American Depositary Shares,Common Stock,Common Stock,,,active
ABX.US,NASDAQ,"Abacus Global Management, Inc.",Common Stock,Common Stock,,,active
ABXL.US,NYSE,ABXL,Common Stock,,,,active
ACAD.US,NASDAQ,ACADIA Pharmaceuticals Inc,Common Stock,Common Stock,,,active
ACB.US,NASDAQ,Aurora Cannabis Inc,Common Stock,Common Stock,,,active
ACCL.US,NASDAQ,Acco Group Holdings Limited Ordinary Shares,Common Stock,Common Stock,,,active
ACDC.US,NASDAQ,ProFrac Holding Corp.,Common Stock,Common Stock,,,active
ACET.US,NASDAQ,Adicet Bio Inc,Common Stock,Common Stock,,,active
ACGL.US,NASDAQ,Arch Capital Group Ltd,Common Stock,Common Stock,,,active
ACHC.US,NASDAQ,Acadia Healthcare Company Inc,Common Stock,Common Stock,,,active
ACHV.US,NASDAQ,Achieve Life Sciences Inc,Common Stock,Common Stock,,,active
ACIC.US,NASDAQ,American Coastal Insurance Corp,Common Stock,Common Stock,,,active
ACIU.US,NASDAQ,AC Immune Ltd,Common Stock,Common Stock,,,active
ACIW.US,NASDAQ,ACI Worldwide Inc,Common Stock,Common Stock,,,active
ACLS.US,NASDAQ,Axcelis Technologies Inc,Common Stock,Common Stock,,,active
ACLX.US,NASDAQ,Arcellx Inc,Common Stock,Common Stock,,,active
ACMR.US,NASDAQ,Acm Research Inc,Common Stock,Common Stock,,,active
ACNB.US,NASDAQ,ACNB Corporation,Common Stock,Common Stock,,,active
ACNT.US,NASDAQ,Synalloy Corporation,Common Stock,Common Stock,,,active
ACOG.US,NASDAQ,Alpha Cognition Inc,Common Stock,Common Stock,,,active
ACON.US,NASDAQ,Aclarion Inc,Common Stock,Common Stock,,,active
ACONW.US,NASDAQ,Aclarion Inc,Common Stock,Common Stock,,,active
ACRS.US,NASDAQ,Aclaris Therapeutics Inc,Common Stock,Common Stock,,,active
ACRV.US,NASDAQ,"Acrivon Therapeutics, Inc. Common Stock",Common Stock,Common Stock,,,active
ACT.US,NASDAQ,Enact Holdings Inc,Common Stock,Common Stock,,,active
ACTG.US,NASDAQ,Acacia Research Corporation,Common Stock,Common Stock,,,active
ACTU.US,NASDAQ,"Actuate Therapeutics, Inc. Common stock",Common Stock,Common Stock,,,active
ACXP.US,NASDAQ,Acurx Pharmaceuticals LLC,Common Stock,Common Stock,,,active
ADAG.US,NASDAQ,Adagene Inc,Common Stock,Common Stock,,,active
ADAM.US,NASDAQ,"New York Mortgage Trust, Inc.",Common Stock,Common Stock,,,active
ADAMG.US,NASDAQ,"Adamas Trust, Inc.",Common Stock,Common Stock,,,active
ADAMH.US,NASDAQ,"Adamas Trust, Inc.",Common Stock,Common Stock,,,active
ADAMI.US,NASDAQ,"New York Mortgage Trust, Inc. 9.125% Senior Notes Due 2029",Common Stock,Common Stock,,,active
ADAMM.US,NASDAQ,"New York Mortgage Trust, Inc.",Common Stock,Common Stock,,,active
ADAMN.US,NASDAQ,"Adamas Trust, Inc",Common Stock,Common Stock,,,active
ADAMO.US,NASDAQ,"Adamas Trust, Inc. 9.250% Senior Notes Due 2031",Common Stock,Common Stock,,,active
ADAMZ.US,NASDAQ,"Adamas Trust, Inc",Common Stock,Common Stock,,,active
ADEA.US,NASDAQ,ADEIA CORP,Common Stock,Common Stock,,,active
ADGM.US,NASDAQ,"Adagio Medical Holdings, Inc Common Stock",Common Stock,Common Stock,,,active
ADI.US,NASDAQ,Analog Devices Inc,Common Stock,Common Stock,,,active
ADIL.US,NASDAQ,Adial Pharmaceuticals Inc,Common Stock,Common Stock,,,active
ADMA.US,NASDAQ,ADMA Biologics Inc,Common Stock,Common Stock,,,active
ADNWW.US,NASDAQ,Advent Technologies Holdings Inc,Common Stock,Common Stock,,,active
ADP.US,NASDAQ,Automatic Data Processing Inc,Common Stock,Common Stock,,,active
ADPT.US,NASDAQ,Adaptive Biotechnologies Corp,Common Stock,Common Stock,,,active
ADSE.US,NASDAQ,Ads Tec Energy PLC,Common Stock,Common Stock,,,active
ADSK.US,NASDAQ,Autodesk Inc,Common Stock,Common Stock,,,active
ADTN.US,NASDAQ,ADTRAN Inc,Common Stock,Common Stock,,,active
ADTX.US,NASDAQ,Aditxt Inc. ,Common Stock,Common Stock,,,active
ADUS.US,NASDAQ,Addus HomeCare Corporation,Common Stock,Common Stock,,,active
ADV.US,NASDAQ,Advantage Solutions Inc,Common Stock,Common Stock,,,active
ADVB.US,NASDAQ,Advanced Biomed Inc. Common Stock,Common Stock,Common Stock,,,active
ADXN.US,NASDAQ,Addex Therapeutics Ltd,Common Stock,Common Stock,,,active
AEAE.US,NASDAQ,Altenergy Acquisition Corp,Common Stock,Common Stock,,,active
AEAQ.US,NASDAQ,Activate Energy Acquisition Corp. Class A Ordinary Share,Common Stock,Common Stock,,,active
AEAQW.US,NASDAQ,Activate Energy Acquisition Corp. Warrant,Common Stock,Common Stock,,,active
AEBI.US,NASDAQ,Aebi Schmidt Holding AG - Common Stock,Common Stock,Common Stock,,,active
AEC.US,NASDAQ,Anfield Energy Inc.,Common Stock,Common Stock,,,active
AEHL.US,NASDAQ,Antelope Enterprise Holdings Ltd,Common Stock,Common Stock,,,active
AEHR.US,NASDAQ,Aehr Test Systems,Common Stock,Common Stock,,,active
AEI.US,NASDAQ,Alset Ehome International Inc,Common Stock,Common Stock,,,active
AEIS.US,NASDAQ,Advanced Energy Industries Inc,Common Stock,Common Stock,,,active
AEMD.US,NASDAQ,Aethlon Medical Inc,Common Stock,Common Stock,,,active
AENT.US,NASDAQ,Alliance Entertainment Holding Corporation Class A Common Stock,Common Stock,Common Stock,,,active
AENTW.US,NASDAQ,Alliance Entertainment Holding Corporation Warrants,Common Stock,Common Stock,,,active
AEP.US,NASDAQ,American Electric Power Co Inc,Common Stock,Common Stock,,,active
AERT.US,NASDAQ,Aeries Technology Inc.,Common Stock,Common Stock,,,active
AERTW.US,NASDAQ,Aeries Technology Inc.,Common Stock,Common Stock,,,active
AEVA.US,NASDAQ,"Aeva Technologies, Inc. Common Stock",Common Stock,Common Stock,,,active
AEXA.US,NYSE,American Exceptionalism Acquisition Corp. A,Common Stock,,,,active
AEYE.US,NASDAQ,AudioEye Inc,Common Stock,Common Stock,,,active
AFBI.US,NASDAQ,Affinity Bancshares Inc,Common Stock,Common Stock,,,active
AFCG.US,NASDAQ,AFC Gamma Inc,Common Stock,Common Stock,,,active
AFJK.US,NASDAQ,"Aimei Health Technology Co., Ltd Ordinary Share",Common Stock,Common Stock,,,active
AFJKR.US,NASDAQ,"Aimei Health Technology Co., Ltd Right",Common Stock,Common Stock,,,active
